"","Year","Edges","Origin","Dest","Origin_Lat","Origin_Lon","Origin_Att","Dest_Lat","Dest_Lon","Dest_Att","Frequency","Avg_Arr_Delay","Avg_Dep_Delay","Avg_Taxi_In","Avg_Taxi_Out","Cancel_Prob","Distance","Carrier_Cancel","Weather_Cancel","NAS_Cancel","Security_Cancel","CarrierDy_Mins","WeatherDy_Mins","NASDy_Mins","SecurityDy_Mins","LateAircraftDy_Mins"
"1",2006,"ABE-ATL","Allentown","Atlanta",40.652099609375,-75.440803527832,393,33.6366996765137,-84.4281005859375,1026,1144,14.9171861086376,18.8568888888889,16.2482517482517,12.7683566433566,0.0166083916083916,692,10,3,6,0,6.90472027972028,2.15909090909091,7.87412587412587,0.0463286713286713,2.65734265734266
"2",2006,"ABE-AVP","Allentown","Scranton",40.652099609375,-75.440803527832,393,41.3385009766,-75.7233963013,962,2,20.5,12,2.5,21.5,0,50,0,0,0,0,0,0,16.5,0,0
"3",2006,"ABE-AZO","Allentown","Kalamazoo",40.652099609375,-75.440803527832,393,42.2349014282227,-85.5521011352539,874,1,NA,241,0,5,0,536,0,0,0,0,0,0,0,0,0
"4",2006,"ABE-CLE","Allentown","Cleveland",40.652099609375,-75.440803527832,393,41.4117012024,-81.8498001099,791,1086,-5.81443298969072,-5.64078578110384,7.56721915285451,12.0414364640884,0.0156537753222836,339,4,12,1,0,0.35451197053407,0.0911602209944751,1.70165745856354,0,0.691528545119705
"5",2006,"ABE-CLT","Allentown","Charlotte",40.652099609375,-75.440803527832,393,35.2140007019043,-80.9430999755859,748,364,-11.4060773480663,-4.94198895027624,6.28571428571429,11.0989010989011,0.00549450549450549,481,0,2,0,0,1.03846153846154,0.0659340659340659,0.510989010989011,0,0.0879120879120879
"6",2006,"ABE-CVG","Allentown","Cincinnati",40.652099609375,-75.440803527832,393,39.0488014221,-84.6678009033,896,965,0.0389884088514226,2.82229232386961,3.40310880829016,13.0901554404145,0.0145077720207254,503,11,3,0,0,3.68704663212435,0.815544041450777,1.56373056994819,0.0341968911917098,0.169948186528497
"7",2006,"ABE-DTW","Allentown","Detroit",40.652099609375,-75.440803527832,393,42.2123985290527,-83.353401184082,645,3,-3,-3.5,6.66666666666667,8.66666666666667,0.333333333333333,424,1,0,0,0,0,0,0,0,0
"8",2006,"ABE-FWA","Allentown","Fort Wayne",40.652099609375,-75.440803527832,393,40.97850037,-85.19509888,814,1,NA,366,0,15,0,511,0,0,0,0,0,0,0,0,0
"9",2006,"ABE-JFK","Allentown","New York",40.652099609375,-75.440803527832,393,40.63980103,-73.77890015,13,4,18.75,21.25,10.5,8.25,0,87,0,0,0,0,0,0,12,0,0
"10",2006,"ABE-LGA","Allentown","New York",40.652099609375,-75.440803527832,393,40.77719879,-73.87259674,21,2,83,65,8.5,12,0,82,0,0,0,0,0,0,83,0,0
"11",2006,"ABE-ORD","Allentown","Chicago",40.652099609375,-75.440803527832,393,41.97859955,-87.90480042,672,1615,13.8886679920477,20.0271164021164,8.78452012383901,11.3448916408669,0.0637770897832817,654,25,18,60,0,3.72569659442724,0.559133126934985,8.90959752321981,0,7.86687306501548
"12",2006,"ABE-SBN","Allentown","South Bend",40.652099609375,-75.440803527832,393,41.7086982727051,-86.3172988891602,799,1,NA,250,0,8,0,571,0,0,0,0,0,0,0,0,0
"13",2006,"ABI-DFW","Abilene","Dallas-Fort Worth",32.4113006592,-99.6819000244,1791,32.896800994873,-97.0380020141602,607,2844,2.25875135330206,4.75838442120447,9.21554149085795,8.18459915611814,0.0249648382559775,158,42,19,10,0,3.51652601969058,0.757383966244726,1.10056258790436,0.00527426160337553,2.0365682137834
"14",2006,"ABI-LAX","Abilene","Los Angeles",32.4113006592,-99.6819000244,1791,33.94250107,-118.4079971,125,1,2,0,9,13,0,1089,0,0,0,0,0,0,0,0,0
"15",2006,"ABQ-AMA","Albuquerque","Amarillo",35.0401992797852,-106.609001159668,5355,35.2193984985352,-101.706001281738,3607,688,7.88529411764706,11.223201174743,3.85610465116279,7.3953488372093,0.0101744186046512,277,0,7,0,0,1.72529069767442,0.42296511627907,0.427325581395349,0.00290697674418605,7.84593023255814
"16",2006,"ABQ-ATL","Albuquerque","Atlanta",35.0401992797852,-106.609001159668,5355,33.6366996765137,-84.4281005859375,1026,1250,6.35835351089588,8.61383748994368,9.0968,14.1632,0.0056,1269,3,4,0,0,4.96,1.088,2.668,0,2.0416
