"","Year","Edges","Origin","Dest","Origin_Lat","Origin_Lon","Origin_Att","Dest_Lat","Dest_Lon","Dest_Att","Frequency","Avg_Arr_Delay","Avg_Dep_Delay","Avg_Taxi_In","Avg_Taxi_Out","Cancel_Prob","Distance","Carrier_Cancel","Weather_Cancel","NAS_Cancel","Security_Cancel","CarrierDy_Mins","WeatherDy_Mins","NASDy_Mins","SecurityDy_Mins","LateAircraftDy_Mins"
"1",2007,"ABE-ATL","Allentown","Atlanta",40.652099609375,-75.440803527832,393,33.6366996765137,-84.4281005859375,1026,1010,17.1011351909185,21.9753340184995,11.1009900990099,13.109900990099,0.0366336633663366,692,10,18,9,0,9.26831683168317,2.78019801980198,4.96732673267327,0,3.81089108910891
"2",2007,"ABE-BWI","Allentown","Baltimore",40.652099609375,-75.440803527832,393,39.17539978,-76.66829681,146,1,61,80,10,17,0,121,0,0,0,0,0,0,61,0,0
"3",2007,"ABE-CLE","Allentown","Cleveland",40.652099609375,-75.440803527832,393,41.4117012024,-81.8498001099,791,1080,-0.0689981096408318,-2.62476370510397,7.96388888888889,11.8944444444444,0.0203703703703704,339,2,12,8,0,1.21111111111111,0.0731481481481481,1.94907407407407,0.0111111111111111,2.05462962962963
"4",2007,"ABE-CLT","Allentown","Charlotte",40.652099609375,-75.440803527832,393,35.2140007019043,-80.9430999755859,748,361,-2.72268907563025,-3.01960784313725,5.5595567867036,13.5595567867036,0.0110803324099723,481,2,2,0,0,2.05540166204986,0.105263157894737,2.61495844875346,0,0
"5",2007,"ABE-CVG","Allentown","Cincinnati",40.652099609375,-75.440803527832,393,39.0488014221,-84.6678009033,896,777,3.778071334214,4.04347826086957,3.31531531531532,15.037323037323,0.0231660231660232,503,9,9,0,0,4.06821106821107,0.767052767052767,2.36808236808237,0.0128700128700129,0.131274131274131
"6",2007,"ABE-DTW","Allentown","Detroit",40.652099609375,-75.440803527832,393,42.2123985290527,-83.353401184082,645,1009,9.40941658137154,7.55510204081633,12.384539147671,14.605550049554,0.0287413280475719,424,16,12,1,0,1.90981169474727,1.01783944499504,3.32507433102081,0,5.69672943508424
"7",2007,"ABE-JFK","Allentown","New York",40.652099609375,-75.440803527832,393,40.63980103,-73.77890015,13,3,57.3333333333333,48.3333333333333,8.33333333333333,19.6666666666667,0,87,0,0,0,0,0,0,57.3333333333333,0,0
"8",2007,"ABE-LGA","Allentown","New York",40.652099609375,-75.440803527832,393,40.77719879,-73.87259674,21,3,38.3333333333333,12.3333333333333,15.3333333333333,20.6666666666667,0,82,0,0,0,0,0,0,38.3333333333333,0,0
"9",2007,"ABE-ORD","Allentown","Chicago",40.652099609375,-75.440803527832,393,41.97859955,-87.90480042,672,1457,12.7097722263042,15.4210139603233,8.08510638297872,12.9162663006177,0.0658888126286891,654,22,16,58,0,4.36582017844887,0.428277282086479,9.98970487302677,0.030885380919698,4.27590940288264
"10",2007,"ABI-DFW","Abilene","Dallas-Fort Worth",32.4113006592,-99.6819000244,1791,32.896800994873,-97.0380020141602,607,2836,11.0613069016153,10.2278063096112,9.39880112834979,9.22813822284908,0.038787023977433,158,34,70,6,0,5.83251057827927,1.77679830747532,3.05112834978843,0.0620592383638928,2.87447108603667
"11",2007,"ABQ-AMA","Albuquerque","Amarillo",35.0401992797852,-106.609001159668,5355,35.2193984985352,-101.706001281738,3607,625,13.258064516129,14.8260869565217,4.5616,8.1584,0.0064,277,1,3,0,0,1.3136,0.1392,1.0832,0,10.3216
"12",2007,"ABQ-ATL","Albuquerque","Atlanta",35.0401992797852,-106.609001159668,5355,33.6366996765137,-84.4281005859375,1026,1148,2.56828193832599,3.76382791922739,9.24477351916376,13.7952961672474,0.0078397212543554,1269,7,1,1,0,3.37891986062718,0.191637630662021,1.83101045296167,0,1.19337979094077
"13",2007,"ABQ-AUS","Albuquerque","Austin",35.0401992797852,-106.609001159668,5355,30.1944999694824,-97.6698989868164,542,414,-8.30508474576271,1.0024154589372,7.35507246376812,10.6111111111111,0,619,0,0,0,0,1.02415458937198,0,0.1256038647343,0,3.45410628019324
"14",2007,"ABQ-BWI","Albuquerque","Baltimore",35.0401992797852,-106.609001159668,5355,39.17539978,-76.66829681,146,365,-3.58356164383562,3.26301369863014,3.70958904109589,8.39452054794521,0,1670,0,0,0,0,0.279452054794521,0.0520547945205479,1.08493150684932,0,1.86027397260274
"15",2007,"ABQ-CLE","Albuquerque","Cleveland",35.0401992797852,-106.609001159668,5355,41.4117012024,-81.8498001099,791,13,6.92307692307692,1.92307692307692,6.46153846153846,12.3076923076923,0,1411,0,0,0,0,0.384615384615385,0,3.15384615384615,0,2.92307692307692
"16",2007,"ABQ-CVG","Albuquerque","Cincinnati",35.0401992797852,-106.609001159668,5355,39.0488014221,-84.6678009033,896,440,7.07603686635945,5.69425287356322,7.70227272727273,14.3386363636364,0.0113636363636364,1240,4,0,1,0,2.8,0,1.96363636363636,0,4.18636363636364
"17",2007,"ABQ-DAL","Albuquerque","Dallas",35.0401992797852,-106.609001159668,5355,32.8470993041992,-96.8517990112305,487,2679,7.71050642479214,10.6804046459348,3.57446808510638,8.12952594251586,0.00373273609555804,580,4,6,0,0,1.7685703620754,0.448674878686077,1.62150055991041,0.0100783874580067,5.20044792833147
"18",2007,"ABQ-DEN","Albuquerque","Denver",35.0401992797852,-106.609001159668,5355,39.861698150635,-104.672996521,5431,2868,9.08751334044824,8.47385272145144,7.81276150627615,11.1115760111576,0.0198744769874477,349,36,14,6,1,3.25767085076709,0.672594142259414,1.6094839609484,0,5.36959553695955
"19",2007,"ABQ-DFW","Albuquerque","Dallas-Fort Worth",35.0401992797852,-106.609001159668,5355,32.896800994873,-97.0380020141602,607,2895,9.97915918074021,8.8222460658083,11.7592400690846,11.2742659758204,0.0341968911917098,569,19,64,16,0,3.12677029360967,0.558203799654577,3.51122625215889,0,4.8832469775475
"20",2007,"ABQ-ELP","Albuquerque","El Paso",35.0401992797852,-106.609001159668,5355,31.80719948,-106.3779984,3959,966,8.865005192108,10.3572170301142,3.83333333333333,8.04968944099379,0.0031055900621118,223,2,0,1,0,1.0879917184265,0.209109730848861,0.299171842650103,0.020703933747412,7.93374741200828
"21",2007,"ABQ-EWR","Albuquerque","Newark",35.0401992797852,-106.609001159668,5355,40.6925010681152,-74.168701171875,18,352,-2.39769452449568,10.6138328530259,9.92897727272727,15.5142045454545,0.0142045454545455,1805,0,5,0,0,2.45738636363636,0.00568181818181818,6.28693181818182,0,3.51420454545455
"22",2007,"ABQ-GJT","Albuquerque","Grand Junction",35.0401992797852,-106.609001159668,5355,39.1223983765,-108.527000427,4858,1,NA,366,0,9,0,300,0,0,0,0,0,0,0,0,0
"23",2007,"ABQ-HOU","Albuquerque","Houston",35.0401992797852,-106.609001159668,5355,29.64539909,-95.27890015,46,1042,4.79008746355685,8.83478260869565,4.45969289827255,8.55662188099808,0.00671785028790787,759,7,0,0,0,1.48080614203455,0.373320537428023,0.881957773512476,0.0412667946257198,5.23704414587332
"24",2007,"ABQ-IAD","Albuquerque","Washington",35.0401992797852,-106.609001159668,5355,38.94449997,-77.45580292,312,365,9.70985915492958,7.3659217877095,6.83287671232877,12.841095890411,0.0191780821917808,1628,3,4,0,0,5.84931506849315,0,4.5013698630137,0,1.43835616438356
"25",2007,"ABQ-IAH","Albuquerque","Houston",35.0401992797852,-106.609001159668,5355,29.9843997955322,-95.3414001464844,97,2257,6.82160466158673,5.32768613464111,10.1581745680106,13.2609658839167,0.00620292423571112,744,2,10,2,0,2.43553389455029,0.126273814798405,3.88657509968985,0.000886132033673017,4.09215773150199
"26",2007,"ABQ-LAS","Albuquerque","Las Vegas",35.0401992797852,-106.609001159668,5355,36.08010101,-115.1520004,2181,2464,4.38283157038242,8.72265148434323,5.13068181818182,9.07670454545454,0.00202922077922078,487,3,1,1,0,1.88392857142857,0.190340909090909,1.26095779220779,0,4.16801948051948
"27",2007,"ABQ-LAX","Albuquerque","Los Angeles",35.0401992797852,-106.609001159668,5355,33.94250107,-118.4079971,125,2494,3.19838383838384,8.08323232323232,8.74899759422614,10.5080192461909,0.00761828388131516,677,17,2,0,0,1.9831595829992,0.240978348035285,0.558941459502807,0.0152365677626303,4.72253408179631
"28",2007,"ABQ-LBB","Albuquerque","Lubbock",35.0401992797852,-106.609001159668,5355,33.6636009216309,-101.822998046875,3282,365,8.23691460055096,12.1068493150685,3.17260273972603,8.18904109589041,0,289,0,0,0,0,2.44383561643836,0.0794520547945206,0.449315068493151,0,6.72602739726027
"29",2007,"ABQ-MAF","Albuquerque","Midland",35.0401992797852,-106.609001159668,5355,31.9424991607666,-102.202003479004,2871,365,11.0246575342466,14.1972602739726,3.05479452054795,8.51232876712329,0,332,0,0,0,0,2.32054794520548,0.0465753424657534,0.457534246575342,0,8.45479452054795
"30",2007,"ABQ-MCI","Albuquerque","Kansas City",35.0401992797852,-106.609001159668,5355,39.2976,-94.713898,1026,715,3.44413012729844,9.45288326300984,4.14265734265734,8.44055944055944,0.00559440559440559,718,1,3,0,0,1.88111888111888,0.00979020979020979,0.32027972027972,0,4.82657342657343
"31",2007,"ABQ-MCO","Albuquerque","Orlando",35.0401992797852,-106.609001159668,5355,28.4293994903564,-81.3089981079102,96,729,3.1939477303989,8.11950549450549,6.74074074074074,8.01234567901234,0.00137174211248285,1552,1,0,0,0,1.87379972565158,0.0342935528120713,0.956104252400549,0,3.69821673525377
"32",2007,"ABQ-MDW","Albuquerque","Chicago",35.0401992797852,-106.609001159668,5355,41.7859992980957,-87.7524032592773,620,727,-0.894590846047157,8.05241379310345,4.58596973865199,8.13617606602476,0.00275103163686382,1121,1,0,1,0,1.39752407152682,0.984869325997249,1.27235213204952,0,2.40027510316369
