"","Year","Edges","Origin","Dest","Origin_Lat","Origin_Lon","Origin_Att","Dest_Lat","Dest_Lon","Dest_Att","Frequency","Avg_Arr_Delay","Avg_Dep_Delay","Avg_Taxi_In","Avg_Taxi_Out","Cancel_Prob","Distance","Carrier_Cancel","Weather_Cancel","NAS_Cancel","Security_Cancel","CarrierDy_Mins","WeatherDy_Mins","NASDy_Mins","SecurityDy_Mins","LateAircraftDy_Mins"
"1",2001,"ABE-ATL","Allentown","Atlanta",40.652099609375,-75.440803527832,393,33.6366996765137,-84.4281005859375,1026,607,6.79145299145299,7.74744027303754,8.83690280065898,12.6919275123558,0.0345963756177924,692,0,0,0,0,NA,NA,NA,NA,NA
"2",2001,"ABE-CLT","Allentown","Charlotte",40.652099609375,-75.440803527832,393,35.2140007019043,-80.9430999755859,748,364,2.41525423728814,-0.878531073446328,7.81318681318681,13.0659340659341,0.0274725274725275,481,0,0,0,0,NA,NA,NA,NA,NA
"3",2001,"ABE-DTW","Allentown","Detroit",40.652099609375,-75.440803527832,393,42.2123985290527,-83.353401184082,645,621,-1.63339070567986,2.2974358974359,10.2495974235105,10.2689210950081,0.0579710144927536,424,0,0,0,0,NA,NA,NA,NA,NA
"4",2001,"ABE-MCO","Allentown","Orlando",40.652099609375,-75.440803527832,393,28.4293994903564,-81.3089981079102,96,574,2.2432915921288,4.36785714285714,5.12020905923345,12.7839721254355,0.024390243902439,906,0,0,0,0,NA,NA,NA,NA,NA
"5",2001,"ABE-MDT","Allentown","Harrisburg",40.652099609375,-75.440803527832,393,40.1935005188,-76.7633972168,310,485,2.73434125269978,4.45474137931035,3.87422680412371,10.2412371134021,0.0432989690721649,77,0,0,0,0,NA,NA,NA,NA,NA
"6",2001,"ABE-ORD","Allentown","Chicago",40.652099609375,-75.440803527832,393,41.97859955,-87.90480042,672,1157,8.58857142857143,9.4995287464656,7.46585998271392,11.7312013828868,0.0829732065687122,654,0,0,0,0,NA,NA,NA,NA,NA
"7",2001,"ABE-PIT","Allentown","Pittsburgh",40.652099609375,-75.440803527832,393,40.49150085,-80.23290253,1203,1454,0.653486700215672,0.230272596843616,6.13686382393398,10.7214580467675,0.0412654745529574,253,0,0,0,0,NA,NA,NA,NA,NA
"8",2001,"ABI-DFW","Abilene","Dallas-Fort Worth",32.4113006592,-99.6819000244,1791,32.896800994873,-97.0380020141602,607,2567,0.204601479046836,2.7039770397704,11.8289832489287,8.49941566030386,0.0498636540708999,158,0,0,0,0,NA,NA,NA,NA,NA
"9",2001,"ABQ-AMA","Albuquerque","Amarillo",35.0401992797852,-106.609001159668,5355,35.2193984985352,-101.706001281738,3607,682,8.02686567164179,10.7824143070045,3.24780058651026,7.83284457478006,0.0161290322580645,277,0,0,0,0,NA,NA,NA,NA,NA
"10",2001,"ABQ-ATL","Albuquerque","Atlanta",35.0401992797852,-106.609001159668,5355,33.6366996765137,-84.4281005859375,1026,853,4.69767441860465,6.69549330085262,8.00351699882767,12.8018757327081,0.0375146541617819,1269,0,0,0,0,NA,NA,NA,NA,NA
"11",2001,"ABQ-BWI","Albuquerque","Baltimore",35.0401992797852,-106.609001159668,5355,39.17539978,-76.66829681,146,365,-8.59556786703601,7.74861878453039,5.77808219178082,8.46575342465753,0.00821917808219178,1670,0,0,0,0,NA,NA,NA,NA,NA
"12",2001,"ABQ-CVG","Albuquerque","Cincinnati",35.0401992797852,-106.609001159668,5355,39.0488014221,-84.6678009033,896,721,6.87766714082504,7.95049504950495,5.97364771151179,13.2163661581137,0.0194174757281553,1240,0,0,0,0,NA,NA,NA,NA,NA
"13",2001,"ABQ-DAL","Albuquerque","Dallas",35.0401992797852,-106.609001159668,5355,32.8470993041992,-96.8517990112305,487,2375,4.22179487179487,7.6768968456948,2.78610526315789,7.84168421052632,0.0122105263157895,580,0,0,0,0,NA,NA,NA,NA,NA
"14",2001,"ABQ-DEN","Albuquerque","Denver",35.0401992797852,-106.609001159668,5355,39.861698150635,-104.672996521,5431,2362,5.95501574448943,6.50470640968176,7.34208298052498,10.0313293818798,0.0554614733276884,349,0,0,0,0,NA,NA,NA,NA,NA
"15",2001,"ABQ-DFW","Albuquerque","Dallas-Fort Worth",35.0401992797852,-106.609001159668,5355,32.896800994873,-97.0380020141602,607,2505,0.927452596867271,2.60238486842105,12.622754491018,11.5453093812375,0.0291417165668663,569,0,0,0,0,NA,NA,NA,NA,NA
"16",2001,"ABQ-ELP","Albuquerque","El Paso",35.0401992797852,-106.609001159668,5355,31.80719948,-106.3779984,3959,1399,5.85394070860448,7.90895953757225,3.12937812723374,8.34739099356683,0.0107219442458899,223,0,0,0,0,NA,NA,NA,NA,NA
"17",2001,"ABQ-EWR","Albuquerque","Newark",35.0401992797852,-106.609001159668,5355,40.6925010681152,-74.168701171875,18,35,3.45714285714286,0.428571428571429,6.85714285714286,14.1428571428571,0,1805,0,0,0,0,NA,NA,NA,NA,NA
"18",2001,"ABQ-HOU","Albuquerque","Houston",35.0401992797852,-106.609001159668,5355,29.64539909,-95.27890015,46,727,5.47552447552448,9.04329608938547,3.8665749656121,7.49105914718019,0.015130674002751,759,0,0,0,0,NA,NA,NA,NA,NA
"19",2001,"ABQ-IAH","Albuquerque","Houston",35.0401992797852,-106.609001159668,5355,29.9843997955322,-95.3414001464844,97,1773,0.316397228637413,1.41426927502877,8.02820078962211,11.3322053017484,0.0197405527354766,744,0,0,0,0,NA,NA,NA,NA,NA
"20",2001,"ABQ-LAS","Albuquerque","Las Vegas",35.0401992797852,-106.609001159668,5355,36.08010101,-115.1520004,2181,2075,5.56390243902439,8.25792296440761,3.57012048192771,7.99807228915663,0.011566265060241,487,0,0,0,0,NA,NA,NA,NA,NA
"21",2001,"ABQ-LAX","Albuquerque","Los Angeles",35.0401992797852,-106.609001159668,5355,33.94250107,-118.4079971,125,2469,2.43860369609856,9.43191140278917,6.85945727014986,8.86391251518834,0.012555690562981,677,0,0,0,0,NA,NA,NA,NA,NA
"22",2001,"ABQ-LBB","Albuquerque","Lubbock",35.0401992797852,-106.609001159668,5355,33.6636009216309,-101.822998046875,3282,671,2.01060606060606,5.29242424242424,2.70044709388972,7.2354694485842,0.0163934426229508,289,0,0,0,0,NA,NA,NA,NA,NA
"23",2001,"ABQ-MAF","Albuquerque","Midland",35.0401992797852,-106.609001159668,5355,31.9424991607666,-102.202003479004,2871,365,6.34349030470914,8.70360110803324,2.37260273972603,8.35342465753425,0.010958904109589,332,0,0,0,0,NA,NA,NA,NA,NA
"24",2001,"ABQ-MCI","Albuquerque","Kansas City",35.0401992797852,-106.609001159668,5355,39.2976,-94.713898,1026,1063,5.84857142857143,9.97435897435897,3.59924741298213,7.64816556914393,0.00940733772342427,718,0,0,0,0,NA,NA,NA,NA,NA
"25",2001,"ABQ-MCO","Albuquerque","Orlando",35.0401992797852,-106.609001159668,5355,28.4293994903564,-81.3089981079102,96,636,-3.87142857142857,4.26825396825397,4.14150943396226,7.87735849056604,0.00943396226415094,1552,0,0,0,0,NA,NA,NA,NA,NA
"26",2001,"ABQ-MDW","Albuquerque","Chicago",35.0401992797852,-106.609001159668,5355,41.7859992980957,-87.7524032592773,620,172,-17.452380952381,2.44642857142857,4.11627906976744,7.1046511627907,0.0232558139534884,1121,0,0,0,0,NA,NA,NA,NA,NA
"27",2001,"ABQ-MSP","Albuquerque","Minneapolis",35.0401992797852,-106.609001159668,5355,44.8819999695,-93.2218017578,841,730,0.687150837988827,4.2625,5.74657534246575,14.0547945205479,0.0136986301369863,981,0,0,0,0,NA,NA,NA,NA,NA
"28",2001,"ABQ-OAK","Albuquerque","Oakland",35.0401992797852,-106.609001159668,5355,37.7212982177734,-122.221000671387,9,697,7.03924418604651,12.1727140783745,3.96556671449067,8.03730272596844,0.0114777618364419,889,0,0,0,0,NA,NA,NA,NA,NA
"29",2001,"ABQ-ORD","Albuquerque","Chicago",35.0401992797852,-106.609001159668,5355,41.97859955,-87.90480042,672,624,5.13256955810147,5.36928104575163,8.63141025641026,14.275641025641,0.0192307692307692,1118,0,0,0,0,NA,NA,NA,NA,NA
"30",2001,"ABQ-PDX","Albuquerque","Portland",35.0401992797852,-106.609001159668,5355,45.58869934,-122.5979996,31,275,-15.1586715867159,3.14022140221402,3.26545454545455,8.24727272727273,0.0145454545454545,1111,0,0,0,0,NA,NA,NA,NA,NA
"31",2001,"ABQ-PHX","Albuquerque","Phoenix",35.0401992797852,-106.609001159668,5355,33.4342994689941,-112.012001037598,1135,6801,5.12682632926646,8.25560403189409,5.26672548154683,9.61108660491104,0.0226437288634024,328,0,0,0,0,NA,NA,NA,NA,NA
"32",2001,"ABQ-SAN","Albuquerque","San Diego",35.0401992797852,-106.609001159668,5355,32.7336006165,-117.190002441,17,1424,2.71073205401564,8.78439716312057,2.69171348314607,7.4627808988764,0.0098314606741573,628,0,0,0,0,NA,NA,NA,NA,NA
"33",2001,"ABQ-SEA","Albuquerque","Seattle",35.0401992797852,-106.609001159668,5355,47.4490013122559,-122.30899810791,433,365,-0.277777777777778,7.70441988950276,6.97534246575342,8.45479452054795,0.00821917808219178,1180,0,0,0,0,NA,NA,NA,NA,NA
"34",2001,"ABQ-SFO","Albuquerque","San Francisco",35.0401992797852,-106.609001159668,5355,37.6189994812012,-122.375,13,16,-1.78571428571429,11.1428571428571,5.875,7.9375,0.125,896,0,0,0,0,NA,NA,NA,NA,NA
